qty,dkey#,note
2,JW50ZT0R00CT-ND,Rc101
2,1276-5742-1-ND,Rc102
1,A105970CT-ND,Rc103
1,541-1150-1-ND,THc101
1,615-1054-ND,THc102
1,2461K-ND,BTp101
1,2461K-ND,BTp102
3,732-4994-1-ND,Dp103
2,P12.0FCT-ND,Rp101
2,1276-5685-1-ND,Rp102
2,1276-5742-1-ND,Rp103
1,615-1054-ND,THp101
1,MCP1827S-1202E/AB-ND,Up101
2,445-14795-1-ND,Cp201
1,XPEBRD-L1-0000-00801CT-ND,Dp201
2,MBRM120ET3GOSCT-ND,Dp202
1,445-2023-1-ND,Lp201
2,P1.00MFCT-ND,Rp201
2,CRM1206-FX-R910ELFCT-ND,Rp202
1,LTC3490ES8#PBF-ND,Up201
2,B340LB-FDICT-ND,Dp301
1,B340LB-FDICT-ND,Dp302
2,1276-5742-1-ND,Rp301
2,1276-5742-1-ND,Rp302
2,1276-3514-1-ND,Rp303
1,FPF2103CT-ND,Up301
2,931-1178-ND,radar_1
2,UHM0J222MPD6-ND,LEDs_1
